old_identifier,new_identifier
AI_PLC2_Me_Nhanh2_Hoan_Thanh_Nhan_Eff,PLC2_Me_Nhanh2_Hoan_Thanh_Nhan_Eff
AI_PLC2_Me_Nhanh2_Hoan_Thanh_Nhan_HMI,PLC2_Me_Nhanh2_Hoan_Thanh_Nhan_HMI
AI_PLC2_Me_Nhanh2_Hoan_Thanh_Nhan_HMI_Gated,PLC2_Me_Nhanh2_Hoan_Thanh_Nhan_HMI_Gated
AI_PLC2_SP_Valid,PLC2_SP_Valid
AI_PLC2_Start_Edge_Edge,PLC2_Start_Edge_Edge
AI_PLC2_Start_Edge_Old,PLC2_Start_Edge_Old
AI_PLC2_State,PLC2_State
AI_PLC2_State_Recv,PLC2_State_Recv
AI_PLC2_Step_Bon3_Dosing,PLC2_Step_Bon3_Dosing
AI_PLC2_Step_Bon3_Khuay,PLC2_Step_Bon3_Khuay
AI_PLC2_Step_Bon3_Tip,PLC2_Step_Bon3_Tip
AI_PLC2_Step_Bon3_Xa,PLC2_Step_Bon3_Xa
AI_PLC2_Step_Bon4_Dosing,PLC2_Step_Bon4_Dosing
AI_PLC2_Step_Bon4_Khuay_Nghich,PLC2_Step_Bon4_Khuay_Nghich
AI_PLC2_Step_Bon4_Khuay_Thuan,PLC2_Step_Bon4_Khuay_Thuan
AI_PLC2_Step_Bon4_PID_Mo_Phong,PLC2_Step_Bon4_PID_Mo_Phong
AI_PLC2_Step_Bon4_Thanh_Trung,PLC2_Step_Bon4_Thanh_Trung
AI_PLC2_Step_Bon4_Tip,PLC2_Step_Bon4_Tip
AI_PLC2_Stop_Active,PLC2_Stop_Active
AI_PLC2_Thanh_Trung_Bon4_Xong,PLC2_Thanh_Trung_Bon4_Xong
AI_PLC2_Thanh_Trung_Bon4_Xong_HMI,PLC2_Thanh_Trung_Bon4_Xong_HMI
AI_PLC2_Tip_Bon3_Auto_Done,PLC2_Tip_Bon3_Auto_Done
AI_PLC2_Tip_Bon3_Timer,PLC2_Tip_Bon3_Timer
AI_PLC2_Tip_Bon3_Xong_HMI,PLC2_Tip_Bon3_Xong_HMI
AI_PLC2_Tip_Bon4_Auto_Done,PLC2_Tip_Bon4_Auto_Done
AI_PLC2_Tip_Bon4_Timer,PLC2_Tip_Bon4_Timer
AI_PLC2_Tip_Bon4_Xong_HMI,PLC2_Tip_Bon4_Xong_HMI
AI_PLC2_Xa_Bon3_Xong,PLC2_Xa_Bon3_Xong
AI_PLC2_Xa_Bon4_Xong,PLC2_Xa_Bon4_Xong
AI_PLC2_Xa_Bon4_Xong_HMI,PLC2_Xa_Bon4_Xong_HMI
AI_PLC2_Xa_Bon4_Xong_Nhan,PLC2_Xa_Bon4_Xong_Nhan
AI_Pump3264_Chuyen_Nhanh1,Pump3264_Chuyen_Nhanh1
AI_Pump3264_Chuyen_Nhanh1_M,Pump3264_Chuyen_Nhanh1_M
AI_Pump3265_Chuyen_Nhanh2,Pump3265_Chuyen_Nhanh2
AI_Pump3265_Chuyen_Nhanh2_Cmd,Pump3265_Chuyen_Nhanh2_Cmd
AI_Pump3265_Chuyen_Nhanh2_Cmd_Edge,Pump3265_Chuyen_Nhanh2_Cmd_Edge
AI_Pump3265_Chuyen_Nhanh2_Cmd_M,Pump3265_Chuyen_Nhanh2_Cmd_M
AI_Pump3265_Chuyen_Nhanh2_Cmd_Nhan,Pump3265_Chuyen_Nhanh2_Cmd_Nhan
AI_Pump3265_Chuyen_Nhanh2_Cmd_Nhan_Eff,Pump3265_Chuyen_Nhanh2_Cmd_Nhan_Eff
AI_Pump3265_Chuyen_Nhanh2_Cmd_Nhan_HMI,Pump3265_Chuyen_Nhanh2_Cmd_Nhan_HMI
AI_Pump3265_Chuyen_Nhanh2_Cmd_Nhan_HMI_Gated,Pump3265_Chuyen_Nhanh2_Cmd_Nhan_HMI_Gated
AI_Pump3265_Chuyen_Nhanh2_Cmd_Old,Pump3265_Chuyen_Nhanh2_Cmd_Old
AI_Pump3265_Chuyen_Nhanh2_M,Pump3265_Chuyen_Nhanh2_M
AI_Pump3361_LuanChuyen_BonChua1,Pump3361_LuanChuyen_BonChua1
AI_Pump3361_LuanChuyen_BonChua1_M,Pump3361_LuanChuyen_BonChua1_M
AI_Pump3362_Xa_BonChua1,Pump3362_Xa_BonChua1
AI_Pump3362_Xa_BonChua1_M,Pump3362_Xa_BonChua1_M
AI_Pump3364_Filter,Pump3364_Filter
AI_Pump3364_Filter_M,Pump3364_Filter_M
AI_Pump3365_Filter,Pump3365_Filter
AI_Pump3365_Filter_M,Pump3365_Filter_M
AI_System_Mode_,System_Mode_
AI_System_Mode_Real,System_Mode_Real
AI_System_Mode_Sim,System_Mode_Sim
AI_TT3204_Bon1,TT3204_Bon1
AI_TT3204_Bon1_Eff,TT3204_Bon1_Eff
AI_TT3204_Bon1_HMI,TT3204_Bon1_HMI
AI_TT3204_Bon1_Sim_Active,TT3204_Bon1_Sim_Active
AI_TT3204_Bon1_Sim_Req,TT3204_Bon1_Sim_Req
AI_TT3204_Bon1_Use_HMI,TT3204_Bon1_Use_HMI
AI_TT3208_Bon2,TT3208_Bon2
AI_TT3208_Bon2_Eff,TT3208_Bon2_Eff
AI_TT3208_Bon2_HMI,TT3208_Bon2_HMI
AI_TT3208_Bon2_Sim_Active,TT3208_Bon2_Sim_Active
AI_TT3208_Bon2_Sim_Req,TT3208_Bon2_Sim_Req
AI_TT3208_Bon2_Use_HMI,TT3208_Bon2_Use_HMI
AI_TT3214_Bon3,TT3214_Bon3
AI_TT3214_Bon3_Eff,TT3214_Bon3_Eff
AI_TT3214_Bon3_HMI,TT3214_Bon3_HMI
AI_TT3214_Bon3_Sim_Active,TT3214_Bon3_Sim_Active
AI_TT3214_Bon3_Sim_Req,TT3214_Bon3_Sim_Req
AI_TT3214_Bon3_Use_HMI,TT3214_Bon3_Use_HMI
AI_TT3219_Bon4,TT3219_Bon4
AI_TT3219_Bon4_Eff,TT3219_Bon4_Eff
AI_TT3219_Bon4_HMI,TT3219_Bon4_HMI
AI_TT3219_Bon4_Sim,TT3219_Bon4_Sim
AI_TT3219_Bon4_Sim_Active,TT3219_Bon4_Sim_Active
AI_TT3219_Bon4_Sim_Pure,TT3219_Bon4_Sim_Pure
AI_TT3219_Bon4_Sim_Req,TT3219_Bon4_Sim_Req
AI_TT3219_Bon4_Target,TT3219_Bon4_Target
AI_TT3219_Bon4_Use_HMI,TT3219_Bon4_Use_HMI
AI_TT3301_BonChua1,TT3301_BonChua1
AI_TT3301_BonChua1_Eff,TT3301_BonChua1_Eff
AI_TT3301_BonChua1_HMI,TT3301_BonChua1_HMI
AI_TT3301_BonChua1_Sim_Active,TT3301_BonChua1_Sim_Active
AI_TT3301_BonChua1_Sim_Req,TT3301_BonChua1_Sim_Req
AI_TT3301_BonChua1_Use_HMI,TT3301_BonChua1_Use_HMI
AI_TT3303_TraoDoiNhiet,TT3303_TraoDoiNhiet
AI_TT3303_TraoDoiNhiet_Eff,TT3303_TraoDoiNhiet_Eff
AI_TT3303_TraoDoiNhiet_HMI,TT3303_TraoDoiNhiet_HMI
AI_TT3303_TraoDoiNhiet_Sim_Active,TT3303_TraoDoiNhiet_Sim_Active
AI_TT3303_TraoDoiNhiet_Sim_Req,TT3303_TraoDoiNhiet_Sim_Req
AI_TT3303_TraoDoiNhiet_Use_HMI,TT3303_TraoDoiNhiet_Use_HMI
AI_TT3306_BonChua2,TT3306_BonChua2
AI_TT3306_BonChua2_Eff,TT3306_BonChua2_Eff
AI_TT3306_BonChua2_HMI,TT3306_BonChua2_HMI
AI_TT3306_BonChua2_Sim_Active,TT3306_BonChua2_Sim_Active
AI_TT3306_BonChua2_Sim_Req,TT3306_BonChua2_Sim_Req
AI_TT3306_BonChua2_Use_HMI,TT3306_BonChua2_Use_HMI
AI_Tags,PLC_Tags
AI_Tags_PLC1,PLC_Tags_PLC1
AI_Tags_PLC2,PLC_Tags_PLC2
AI_Timer_Dosing_Bon1,Timer_Dosing_Bon1
AI_Timer_Dosing_Bon2,Timer_Dosing_Bon2
AI_Timer_Dosing_Bon3,Timer_Dosing_Bon3
AI_Timer_Dosing_Bon4,Timer_Dosing_Bon4
AI_Timer_DryRun_Bon2,Timer_DryRun_Bon2
AI_Timer_DryRun_Bon4,Timer_DryRun_Bon4
AI_Timer_Heartbeat_PLC1,Timer_Heartbeat_PLC1
AI_Timer_Heartbeat_PLC2,Timer_Heartbeat_PLC2
AI_Timer_Khuay_Bon1,Timer_Khuay_Bon1
AI_Timer_Khuay_Bon3,Timer_Khuay_Bon3
AI_Timer_Khuay_Nghich_Bon2,Timer_Khuay_Nghich_Bon2
AI_Timer_Khuay_Nghich_Bon4,Timer_Khuay_Nghich_Bon4
AI_Timer_Khuay_Thuan_Bon2,Timer_Khuay_Thuan_Bon2
AI_Timer_Khuay_Thuan_Bon4,Timer_Khuay_Thuan_Bon4
AI_Timer_Thanh_Trung_Bon2,Timer_Thanh_Trung_Bon2
AI_Timer_Thanh_Trung_Bon4,Timer_Thanh_Trung_Bon4
AI_Timer_Tip_Bon1,Timer_Tip_Bon1
AI_Timer_Tip_Bon2,Timer_Tip_Bon2
AI_Timer_Tip_Bon3,Timer_Tip_Bon3
AI_Timer_Tip_Bon4,Timer_Tip_Bon4
AI_Timers_PLC1,Timers_PLC1
AI_Timers_PLC2,Timers_PLC2
AI_V3230_Nuoc_Bon1,V3230_Nuoc_Bon1
AI_V3230_Nuoc_Bon1_M,V3230_Nuoc_Bon1_M
AI_V3232_Xa_Bon1,V3232_Xa_Bon1
AI_V3232_Xa_Bon1_M,V3232_Xa_Bon1_M
AI_V3233_Xa_Bon1,V3233_Xa_Bon1
AI_V3233_Xa_Bon1_M,V3233_Xa_Bon1_M
AI_V3234_Xa_Bon1,V3234_Xa_Bon1
AI_V3234_Xa_Bon1_M,V3234_Xa_Bon1_M
AI_V3235_Nuoc_Bon2,V3235_Nuoc_Bon2
AI_V3235_Nuoc_Bon2_M,V3235_Nuoc_Bon2_M
AI_V3237_Xa_Bon2,V3237_Xa_Bon2
AI_V3237_Xa_Bon2_M,V3237_Xa_Bon2_M
AI_V3238_Xa_Bon2,V3238_Xa_Bon2
AI_V3238_Xa_Bon2_M,V3238_Xa_Bon2_M
AI_V3239_Xa_Bon2,V3239_Xa_Bon2
AI_V3239_Xa_Bon2_M,V3239_Xa_Bon2_M
AI_V3240_Nuoc_Bon3,V3240_Nuoc_Bon3
AI_V3240_Nuoc_Bon3_M,V3240_Nuoc_Bon3_M
AI_V3242_Xa_Bon3,V3242_Xa_Bon3
AI_V3242_Xa_Bon3_M,V3242_Xa_Bon3_M
AI_V3243_Xa_Bon3,V3243_Xa_Bon3
AI_V3243_Xa_Bon3_M,V3243_Xa_Bon3_M
AI_V3244_Xa_Bon3,V3244_Xa_Bon3
AI_V3244_Xa_Bon3_M,V3244_Xa_Bon3_M
AI_V3245_Nuoc_Bon4,V3245_Nuoc_Bon4
AI_V3245_Nuoc_Bon4_M,V3245_Nuoc_Bon4_M
AI_V3247_Xa_Bon4,V3247_Xa_Bon4
AI_V3247_Xa_Bon4_M,V3247_Xa_Bon4_M
AI_V3248_Xa_Bon4,V3248_Xa_Bon4
AI_V3248_Xa_Bon4_M,V3248_Xa_Bon4_M
AI_V3249_Xa_Bon4,V3249_Xa_Bon4
AI_V3249_Xa_Bon4_M,V3249_Xa_Bon4_M
AI_V3331_Xa_BonChua1,V3331_Xa_BonChua1
AI_V3331_Xa_BonChua1_M,V3331_Xa_BonChua1_M
AI_V3332_Xa_BonChua1,V3332_Xa_BonChua1
AI_V3332_Xa_BonChua1_M,V3332_Xa_BonChua1_M
AI_V3333_DieuHuong_BonChua1,V3333_DieuHuong_BonChua1
AI_V3333_DieuHuong_BonChua1_M,V3333_DieuHuong_BonChua1_M
AI_V3334_DieuHuong_BonChua1,V3334_DieuHuong_BonChua1
AI_V3334_DieuHuong_BonChua1_M,V3334_DieuHuong_BonChua1_M
AI_V3335_DieuHuong_BonChua1,V3335_DieuHuong_BonChua1
AI_V3335_DieuHuong_BonChua1_M,V3335_DieuHuong_BonChua1_M
AI_V3338_Xa_BonChua2,V3338_Xa_BonChua2
AI_V3338_Xa_BonChua2_M,V3338_Xa_BonChua2_M
AI_V3339_Xa_BonChua2,V3339_Xa_BonChua2
AI_V3339_Xa_BonChua2_M,V3339_Xa_BonChua2_M
AI_V3340_Duong_Filter,V3340_Duong_Filter
AI_V3340_Duong_Filter_M,V3340_Duong_Filter_M
AI_V3341_Duong_Filter,V3341_Duong_Filter
AI_V3341_Duong_Filter_M,V3341_Duong_Filter_M
AI_VFD_Bon2_Actual_Speed_Feedback,VFD_Bon2_Actual_Speed_Feedback
AI_VFD_Bon2_Actual_Speed_Feedback_M,VFD_Bon2_Actual_Speed_Feedback_M
AI_VFD_Bon2_Dao_Chieu,VFD_Bon2_Dao_Chieu
AI_VFD_Bon2_Dao_Chieu_M,VFD_Bon2_Dao_Chieu_M
AI_VFD_Bon2_Freq_Temp,VFD_Bon2_Freq_Temp
AI_VFD_Bon2_Khuay_Active,VFD_Bon2_Khuay_Active
AI_VFD_Bon2_MBCL_Done,VFD_Bon2_MBCL_Done
AI_VFD_Bon2_MBCL_Error,VFD_Bon2_MBCL_Error
AI_VFD_Bon2_MBCL_Status,VFD_Bon2_MBCL_Status
AI_VFD_Bon2_MB_ActualSpeed,VFD_Bon2_MB_FreqActual
AI_VFD_Bon2_MB_Busy,VFD_Bon2_MB_Busy
AI_VFD_Bon2_MB_ControlWord,VFD_Bon2_MB_ControlWord
AI_VFD_Bon2_MB_Counter,VFD_Bon2_MB_Counter
AI_VFD_Bon2_MB_DataAddr,VFD_Bon2_MB_DataAddr
AI_VFD_Bon2_MB_DataBuffer,VFD_Bon2_MB_DataBuffer
AI_VFD_Bon2_MB_DataLen,VFD_Bon2_MB_DataLen
AI_VFD_Bon2_MB_Done,VFD_Bon2_MB_Done
AI_VFD_Bon2_MB_Error,VFD_Bon2_MB_Error
AI_VFD_Bon2_MB_FreqSetpoint,VFD_Bon2_MB_FreqSetpoint
AI_VFD_Bon2_MB_Mode,VFD_Bon2_MB_Mode
AI_VFD_Bon2_MB_Req,VFD_Bon2_MB_Req
AI_VFD_Bon2_MB_Status,VFD_Bon2_MB_Status
AI_VFD_Bon2_MB_StatusWord,VFD_Bon2_MB_StatusWord
AI_VFD_Bon2_Run,VFD_Bon2_Run
AI_VFD_Bon2_Run_M,VFD_Bon2_Run_M
AI_VFD_Bon2_Should_Run,VFD_Bon2_Should_Run
AI_VFD_Bon2_Step0_Req,VFD_Bon2_Step0_Req
AI_VFD_Bon2_Step1_Req,VFD_Bon2_Step1_Req
AI_VFD_Bon2_Step2_Req,VFD_Bon2_Step2_Req
AI_VFD_Bon2_Step3_Req,VFD_Bon2_Step3_Req
AI_VFD_Bon2_Toc_Do_AO,VFD_Bon2_Toc_Do_AO
AI_VFD_Bon2_Toc_Do_AO_M,VFD_Bon2_Toc_Do_AO_M
AI_VFD_Bon2_iStep,VFD_Bon2_iStep
AI_VFD_Bon2_iStep_Reset,VFD_Bon2_iStep_Reset
GIO_Bon1_MucDich,HMI_Anim_Bon1_MucDich
GIO_Bon2_MucDich,HMI_Anim_Bon2_MucDich
GIO_Bon3_MucDich,HMI_Anim_Bon3_MucDich
GIO_Bon4_MucDich,HMI_Anim_Bon4_MucDich
GIO_BonChua1_MucDich,HMI_Anim_BonChua1_MucDich
GIO_BonChua2_MucDich,HMI_Anim_BonChua2_MucDich
