old_identifier,new_identifier
AI_FT3210_Bon3_Use_HMI,FT3210_Bon3_Use_HMI
AI_FT3215_Bon4,FT3215_Bon4
AI_FT3215_Bon4_Eff,FT3215_Bon4_Eff
AI_FT3215_Bon4_HMI,FT3215_Bon4_HMI
AI_FT3215_Bon4_Sim_Active,FT3215_Bon4_Sim_Active
AI_FT3215_Bon4_Sim_Req,FT3215_Bon4_Sim_Req
AI_FT3215_Bon4_Use_HMI,FT3215_Bon4_Use_HMI
AI_FT3309_Xa_Thanh_Pham,FT3309_Xa_Thanh_Pham
AI_FT3309_Xa_Thanh_Pham_Eff,FT3309_Xa_Thanh_Pham_Eff
AI_FT3309_Xa_Thanh_Pham_HMI,FT3309_Xa_Thanh_Pham_HMI
AI_FT3309_Xa_Thanh_Pham_Sim_Active,FT3309_Xa_Thanh_Pham_Sim_Active
AI_FT3309_Xa_Thanh_Pham_Sim_Req,FT3309_Xa_Thanh_Pham_Sim_Req
AI_FT3309_Xa_Thanh_Pham_Use_HMI,FT3309_Xa_Thanh_Pham_Use_HMI
AI_FirstScan,FirstScan
AI_Gia_Lap_Heartbeat_Chay,Gia_Lap_Heartbeat_Chay
AI_Gia_Lap_Mat_Ket_Noi_HMI,Gia_Lap_Mat_Ket_Noi_HMI
AI_HMI_,HMI_
AI_HMI_Ack_Alarm,HMI_Ack_Alarm
AI_HMI_Admin_Login,HMI_Admin_Login
AI_HMI_Alarm_Status,HMI_Alarm_Status
AI_HMI_AnToan_Status,HMI_AnToan_Status
AI_HMI_Che_Do_Manual,HMI_Che_Do_Manual
AI_HMI_Cho_Phep_Sua_Thong_So,HMI_Cho_Phep_Sua_Thong_So
AI_HMI_Engineer_Login,HMI_Engineer_Login
AI_HMI_Load_Default_Recipe,HMI_Load_Default_Recipe
AI_HMI_Operator_Login,HMI_Operator_Login
AI_HMI_Reset_Alarm,HMI_Reset_Alarm
AI_HMI_Run_Enable,HMI_Run_Enable
AI_HMI_SP_,HMI_SP_
AI_HMI_SP_BonChua1_Nhiet_Giai_Nhiet,HMI_SP_BonChua1_Nhiet_Giai_Nhiet
AI_HMI_SP_Loc_Ap_Suat_Max,HMI_SP_Loc_Ap_Suat_Max
AI_HMI_SP_PLC1_Nhiet_Do_Bon2,HMI_SP_PLC1_Nhiet_Do_Bon2
AI_HMI_SP_PLC1_Nuoc_Bon1,HMI_SP_PLC1_Nuoc_Bon1
AI_HMI_SP_PLC1_Nuoc_Bon2,HMI_SP_PLC1_Nuoc_Bon2
